,main_category,category,year,usd_pledged_real,pledged_minmax,x,y,success_rank
157,Crafts,Candles,2014,65560.42000000001,5.030890926860588,6.076256430687746,9.246015465977084,3.0
158,Crafts,Candles,2015,89761.6,5.042345818841853,10.83495883401988,6.262241147891474,3.0
159,Crafts,Candles,2016,35650.079999999994,5.0167337777536885,14.286602722783755,15.023843767327847,3.0
160,Crafts,Candles,2017,37089.12,5.017414903539981,1.5237193490822252,11.128756869844214,3.0
161,Crafts,Crafts,2009,3485.0,5.001509416091623,9.962532076943544,5.031545114355879,3.0
162,Crafts,Crafts,2010,84336.95999999999,5.039778230598749,18.215602574697535,6.069977905014625,3.0
163,Crafts,Crafts,2011,135662.23000000004,5.064071485049948,12.632892726935701,6.288911487037723,3.0
164,Crafts,Crafts,2012,309834.86,5.146510798452966,19.868733963520818,3.960251646581774,3.0
165,Crafts,Crafts,2013,1433750.6700000002,5.67848214032911,2.8750644459040706,3.794485965057241,3.0
166,Crafts,Crafts,2014,1372822.8899999992,5.649643830025303,18.2634300334753,7.008651581738148,3.0
167,Crafts,Crafts,2015,1169041.4200000004,5.553190073364123,16.910559734110137,19.443440523041883,3.0
168,Crafts,Crafts,2016,2105695.7800000003,5.996526907253257,1.4970110777904093,10.265515549013989,3.0
169,Crafts,Crafts,2017,1436315.8600000003,5.679696294943117,11.195124235779442,1.5084121972794469,3.0
170,Crafts,Crochet,2009,5680.0,5.002548352535998,15.42631269660789,12.483447049293567,3.0
171,Crafts,Crochet,2011,1669.0,5.000649867762244,5.219000730510252,14.437073669591609,3.0
172,Crafts,Crochet,2012,2228.58,5.000914727924223,13.336743493144889,11.316607388305172,3.0
173,Crafts,Crochet,2013,5012.76,5.00223253478969,17.15957895368045,8.941899363034633,3.0
174,Crafts,Crochet,2014,10991.019999999999,5.005062162210168,16.084990541130633,1.4092838116218442,3.0
175,Crafts,Crochet,2015,7280.89,5.0033060850938265,9.134059907233338,15.117134432799695,3.0
176,Crafts,Crochet,2016,10877.27,5.005008322109691,2.108580537351941,6.508612434131539,3.0
177,Crafts,Crochet,2017,4461.92,5.001971811440706,11.244270012800172,14.160251317528273,3.0
178,Crafts,DIY,2012,1803.0,5.000713292583906,4.573517974566608,14.518786254716362,3.0
179,Crafts,DIY,2013,5806.0,5.002607990801142,11.235322393360965,13.313654856592013,3.0
180,Crafts,DIY,2014,137980.99,5.0651689995236415,6.119265115119946,12.073672633627565,3.0
181,Crafts,DIY,2015,430895.88,5.203811347733694,7.598963587447226,14.255292644807374,3.0
182,Crafts,DIY,2016,479241.51,5.226694280277322,11.33091393146117,2.443825216721974,3.0
